"","HMR","CLV","MC1","MC2","MC3","MC4","MC5","TOTAL.MASS"
"HMR",NA,0.926,0.9,0.909,0.878,0.698,0.833,0.932
"CLV",0,NA,0.865,0.872,0.849,0.625,0.742,0.908
"MC1",0,0,NA,0.954,0.88,0.764,0.882,0.893
"MC2",0,0,0,NA,0.888,0.722,0.879,0.913
"MC3",0,0,0,0,NA,0.8,0.886,0.842
"MC4",0,0,0,0,0,NA,0.831,0.679
"MC5",0,0,0,0,0,0,NA,0.801
"TOTAL.MASS",0,0,0,0,0,0,0,NA
