ID,SEX,AGE,RESEARCHER,CLV.L,CLV.R,MC1.L,MC1.R,MC2.L,MC2.R,MC3.L,MC3.R,MC4.L,MC4.R,MC5.L,MC5.R,Patella.L,Patella.R,Calcaneus.L,Calcaneus.R,Talus.L,Talus.R,Cuboid.L,Cuboid.R,Navicular.L,Navicular.R,Med Cuneiform.L,Med Cuneiform.R,Int Cuneiform.L,Int Cuneiform.R,Lat Cuneiform.L,Lat Cuneiform.R,MT1.L,MT1.R,MT2.L,MT2.R,MT3.L,MT3.R,MT4.L,MT4.R,MT5.L,MT5.R,HUMERUS.L,FEMUR.L,TOTAL MASS
31,F,90,CM,9.8,10.8,1.1,1.4,1.9,2.2,1.9,1.9,,1,1,0.9,5.2,5.3,14.1,13.9,8.7,7.6,2.5,2.3,2.2,2,1.9,1.9,0.7,0.7,1.1,1,3.8,3.6,1.9,1.9,2.4,2.4,1.5,1.3,1.6,1.8,57.7,194.4,1849.7
35,M,75,DG,24.21,,3.26,,5.52,,4.81,,2.71,,2.46,,11.61,,29.78,,18.55,,4.94,,5.84,,4.8,,2.01,,2.72,,8.35,,5.5,,4.39,,3.88,,4.97,,125.1,355.4,3218.5
38,F,50,CM,18.7,18.3,2.1,,3.5,3.6,3.3,,2.5,2.3,1.1,,,7.7,25.4,26,15.6,15.5,3.8,4.4,4.5,4.5,4.1,3.8,1.2,1.2,1.6,2,7.5,7.6,3.2,3.3,3.4,3.6,3.4,4,4.2,4.7,83.7,279.8,2972.6
43,M,72,DG,,13.85,,2.37,,4.52,,5.15,,3.02,,2.2,9.59,,22.24,,12.26,,4.41,,3.99,,3.85,,1.31,,1.99,,6.81,,4.28,,3.85,,3.47,,4.41,,121.8,339.9,3328.9
44,M,82,CM,22,22,3.5,3.2,5.4,,4.5,4.6,3,3.2,2.5,2.5,8.3,8.7,25.3,26,18.1,17.4,4.7,5.1,4.5,4.1,4,4,1.7,1.7,2.2,2.4,7.9,7.7,3.4,3.8,3,3.5,3,3.3,3.5,4.1,123.9,324,3564.6
51,M,70,DG,,15.33,2.96,,4.82,,3.84,,2.16,,,,,12.04,20.2,,16.4,,3.19,,4.99,,4.11,,1.49,,1.95,,7.16,,4.04,,3.05,,2.72,,2.71,,93.4,277.1,2283.7
60,M,95,CM,10.1,10.6,1.4,1.1,2.4,2.1,1.8,2,1.1,1.1,1,1.1,4.5,4.3,14.5,15.7,9.3,10.2,2.4,2.6,,2.6,,2.5,1.4,1.4,1.5,1.3,4.1,4.4,2.2,2.7,3.2,3.2,1.9,2.5,3,3,59.4,195.3,1686.8
62,M,60,CM,21.5,20.4,3.6,4,5.8,5.7,5.2,5.4,3.4,3.6,2.9,3,11.1,10.9,24.6,24.3,15.8,15,4.5,4.2,4.8,4.7,4.9,4.1,1.9,1.5,2.2,2.2,8.4,,4.9,4.3,5,4.5,4.4,4.7,5.2,5,125.8,330.8,3187.6
63,M,64,MAA,23.4,23.3,3.7,4.1,6,6.6,5.1,5.7,3.2,3.2,3,3,15.8,15.4,33.4,36,17.7,18.9,5.7,6.1,5.1,5.5,4.3,4.7,1.7,1.9,2.7,2.8,9.1,10.2,4.2,4.3,4.3,4.4,4.6,4.5,5.8,7,154.1,489.4,4153.5
71,M,67,MAA,23,26.2,3.8,,5.7,6,5.7,5.7,3.1,3.3,3,2.7,9.3,10.2,27.6,29,21.5,21.2,5.8,5.7,5.4,5.6,4.6,4.2,2.3,2,3,3,,7.9,4.9,4.1,3.8,3.6,3.7,3.9,,4.1,145.3,353,3877.4
