"","ID","SEX","AGE","RESEARCHER","CLV.L","CLV.R","MC1.L","MC1.R","MC2.L","MC2.R","MC3.L","MC3.R","MC4.L","MC4.R","MC5.L","MC5.R","Patella.L","Patella.R","Calcaneus.L","Calcaneus.R","Talus.L","Talus.R","Cuboid.L","Cuboid.R","Navicular.L","Navicular.R","Med.Cuneiform.L","Med.Cuneiform.R","Int.Cuneiform.L","Int.Cuneiform.R","Lat.Cuneiform.L","Lat.Cuneiform.R","MT1.L","MT1.R","MT2.L","MT2.R","MT3.L","MT3.R","MT4.L","MT4.R","MT5.L","MT5.R","HUMERUS.L","FEMUR.L","TOTAL.MASS"
"43",136,"F",89,"CC",11,10.9,1.9,NA,3,3,2.7,2.5,1.4,1.4,1.2,1.2,NA,NA,15,14.8,11.7,10.2,3.1,2.8,3.4,3.1,2.5,NA,1.4,NA,1.8,NA,4,4.1,3.8,3,2.5,2.6,1.9,2.9,2.8,2.9,76.5,310.3,2598
"44",143,"M",69,"CC",19.9,20.7,NA,NA,NA,5.7,4.7,5.3,3,3,2.1,NA,12.8,NA,23.7,22.6,16.7,17.1,4,4,5.7,5.8,4.1,4.5,1.3,1.3,1.8,1.9,6.4,5.8,3.1,4.8,3,3,NA,2.6,2.3,2.1,136.6,377.9,3562.4
"45",144,"F",81,"FC",20.4,20.2,2.6,2.9,4.5,4.3,3.5,4.2,2.3,2.3,2,2.3,8.8,9.7,21.6,26.5,16.1,19.6,5.7,5.9,5.3,6,4.5,5,2.3,2.3,2.9,2.9,8.3,10.1,4.9,5.4,4.4,4.8,4,4.6,5.3,5.7,125.7,313.4,3494.4
"46",146,"F",93,"FC",NA,15.7,1.8,1.9,2.5,2.6,1.9,2.5,1.6,2,1.5,1.5,NA,5.8,16.7,17,9.9,11,2.9,3.3,3,3.2,3,2.6,1.2,1.2,1.4,1.5,4.9,5.2,3.8,3.6,3.2,3,2.9,3,3,3.3,74.8,205,2521.9
"47",147,"F",92,"FC",10.6,10.7,1.2,1.6,2.6,3.3,2.8,3.4,1.8,1.9,1.3,NA,4.9,5.2,13.2,12,8.2,9.4,3,NA,2.6,2.9,2.1,2.6,0.7,1.1,1.1,1.6,4.4,4.4,2.8,2.6,1.9,2.3,1.7,2.1,NA,2.1,53.8,180.9,1857.8
"48",150,"M",79,"FC",13.9,14.1,2.7,2.5,4,4.5,3.8,3.9,2.2,2.2,1.6,1.6,8.3,NA,20.1,20.6,13.9,14.4,3.5,3.7,3.7,4.1,3.1,3.3,1.5,1.6,2.1,1.9,6.7,6.9,3.5,3.2,3.5,3.2,2.5,2.8,2.8,2.6,86.5,279.1,2616.2
"61",154,"M",45,"AV",23,22.5,3.5,3.7,4,5.1,5.4,5.1,1.8,2.4,2.2,NA,NA,NA,25.4,26.4,17.8,18.6,5.4,4.6,5.3,5.3,4.6,4.6,1.5,1.6,2,2.3,9.1,8.9,3.5,3.8,3.9,4.7,3.3,4.1,4.4,3.5,131.1,311.8,3188.2
"49",155,"M",94,"AV",13.6,NA,2.5,2.7,3.7,4.1,NA,4.5,NA,2.5,1.5,1.9,NA,9.4,21.5,23.3,14.8,15.4,3.9,3.9,4.2,4.4,3.8,3.7,1.5,1.6,2,2.3,5.3,5.7,4,3.7,2.6,2.9,NA,2.6,NA,NA,88.5,273.3,2417.8
"50",160,"M",87,"AV",17,16.4,3,2.3,4.7,4.1,4.8,3.8,2.4,2.2,2.1,1.9,12.1,12.6,29.3,29.8,20.1,20,5.7,5.4,8.2,8.3,6.1,6.4,2.3,2.2,2.8,2.6,7.4,8.4,5.5,5.4,3.9,3.8,3.6,4.3,NA,NA,98,319.1,3369
"51",161,"F",82,"AV",15.8,16.7,3.3,3.4,4.9,5.4,4.5,4.8,2.7,3.2,2.3,2.5,12.8,12,34.6,41.4,19.2,24.4,4.9,5.3,5.8,5.8,4,4.5,2.1,2.2,2.6,2.7,8.7,9.6,4.9,5.4,4.7,4.5,4,4.1,4,3.8,87,363.3,3378.6
"52",162,"F",87,"AV",10.6,NA,1.5,1.6,NA,3,1.5,1.8,NA,NA,NA,NA,6.6,5.9,15.4,14.6,10.6,10.9,3.6,3,3.5,2.7,3.4,NA,0.9,0.9,1.8,1.2,4.4,NA,2.4,1.9,2.4,1.4,2.4,NA,2.2,NA,59.9,183.2,2032.5
"53",166,"F",81,"AV",NA,13.4,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,5.3,3.7,14,16.6,8,9.7,2.3,3.4,2.5,3,2.1,2.6,NA,0.9,1,1.1,4.6,4.6,2.2,2.6,NA,1.6,NA,2.2,2.8,2.1,58.2,173.3,2032.4
"54",178,"F",83,"DG",NA,10.4,2,2.1,3.4,3.9,3.1,NA,1.8,2.1,1.5,1.9,8.8,8.3,25.5,24.3,16.5,16.9,4.2,4.2,5.2,5.5,3.8,3.9,2,2.2,2.3,2.1,6.9,7,NA,NA,3.8,4,3.8,3.8,4.4,4.6,68.3,249.8,2607.2
"55",179,"M",86,"DG",19.1,18.1,3.1,2.7,4.5,4.5,4.9,5.1,NA,2.2,NA,NA,8.4,8.9,22.3,22.6,14.3,14.9,3.9,3.5,4.3,4.4,4.1,4.3,1.3,1.5,1.6,NA,8.2,NA,4.1,3.9,3.4,3,4,3.5,NA,NA,97.7,323.4,3358
"56",180,"M",86,"DG",15.2,14.4,NA,2,4.5,4.5,3.8,NA,1.4,NA,NA,NA,9.3,10.8,20,20.2,NA,16.2,3,3.2,3.5,3.5,2.9,2.7,0.8,1.1,1.4,1.4,5.3,5.6,NA,2.3,2.1,2,2.5,2.5,3.4,NA,89.6,262.8,2438.5
"57",183,"F",81,"DG",19,18.5,1.6,2,NA,2.4,3.7,4,NA,2.4,1.7,1.9,9.8,10.9,26.6,25.7,14.4,14.5,4.2,4.2,3.8,4.2,3.5,3.6,1.3,1.5,2.1,2.4,7.4,7.9,4.6,4.5,4.8,4.1,4.5,4.7,NA,4.7,93.4,304.1,2764.4
